PublicID,Date,Latitude,Longitude,strike1,dip1,rake1,strike2,dip2,rake2,ML,Mw,Mo,CD,NS,DC,Mxx,Mxy,Mxz,Myy,Myz,Mzz,VR,Tva,Tpl,Taz,Nva,Npl,Naz,Pva,Ppl,Paz
3505099,20110429190800,-43.1842,171.9868,69,90,151,159,61,0,5.2,4.9,2.15e+23,7,12,70,1099.58,1439.20,887.23,-1338.35,-561.79,238.77,85,1976.42,20,20,343.34,61,248,-2319.76,20,118
2013p544960,20130721151500,-41.4503,174.2992,263,84,-163,171,73,-7,4.9,5.0,3.13e+23,10,7,84,1012.12,2879.10,818.73,-585.26,-311.79,-426.86,79,3260.88,8,36,-267.97,72,281,-2992.91,16,128
2013p616691,20130817041300,-41.7793,173.9923,140,85,11,49,79,175,5.0,4.7,1.32e+23,6,10,55,1401.72,194.57,350.71,-1133.39,86.25,-268.33,75,1488.85,11,5,-336.40,78,164,-1152.45,4,274
2013p666224,20130904120400,-41.5003,174.4235,243,83,170,334,80,7,5.1,4.8,1.90e+23,18,7,52,1216.12,1136.44,-242.65,-1775.01,18.30,558.89,75,1645.25,12,199,515.87,78,28,-2161.12,2,289
2015p013973,20150106040400,-43.0628,171.2858,252,82,150,347,60,10,4.8,4.6,8.95e+22,8,10,89,310.05,670.63,-423.15,-469.13,50.17,159.08,86,-919.52,27,206,869.57,59,58,49.95,15,303
2016p198476,20160314102800,-42.2636,173.0482,66,87,160,157,70,3,5.0,4.8,1.84e+23,11,13,91,1194.85,1169.17,597.19,-1328.19,-217.54,133.34,82,-1877.52,16,20,1794.25,70,237,83.27,12,113
2016p859270,20161113221900,-42.3912,173.2141,157,81,9,66,81,171,5.4,5.1,6.01e+23,11,11,92,4240.86,3996.46,1269.82,-4315.59,548.07,74.73,83,6132.56,13,22,-5892.18,77,201,-240.39,0,112
2016p859929,20161114041000,-42.1553,173.5954,172,79,-16,265,75,-168,4.9,4.6,1.13e+23,5,8,60,416.46,1055.83,82.41,-91.38,-229.18,-325.08,89,1252.31,3,219,-1002.48,71,317,-249.82,19,128
2016p882187,20161122094900,-42.9531,173.0108,354,64,67,218,34,129,4.6,4.6,9.02e+22,4,12,71,171.69,261.69,-136.51,-782.58,-484.60,610.89,82,-973.48,64,226,142.13,20,4,831.35,16,101
2017p113098,20170211201800,-42.6779,172.7225,254,84,164,346,74,6,5.2,4.9,2.74e+23,8,12,90,1169.50,2266.06,-768.18,-1461.53,-14.05,292.03,87,-2811.88,16,209,2666.84,73,54,145.04,7,301
2017p135277,20170220011600,-42.7568,172.8294,72,88,-171,342,81,-2,4.8,4.5,6.74e+22,11,7,81,429.06,538.29,-92.43,-356.84,33.66,-72.21,83,708.37,5,207,-639.51,81,84,-68.86,8,298
2017p144774,20170223133500,-43.1306,171.6953,163,86,-4,253,86,-176,4.9,4.7,1.43e+23,8,13,100,812.03,1172.64,64.79,-800.95,-126.09,-11.08,87,1428.75,0,28,-1431.81,84,298,3.06,6,118
2017p161601,20170301190100,-42.9601,173.0949,224,50,108,16,43,69,5.2,4.8,2.26e+23,6,13,99,-469.69,1021.25,-597.75,-1645.45,-32.15,2115.14,88,-2253.27,75,197,-11.05,14,31,2264.33,4,301
