PublicID,Date,Latitude,Longitude,strike1,dip1,rake1,strike2,dip2,rake2,ML,Mw,Mo,CD,NS,DC,Mxx,Mxy,Mxz,Myy,Myz,Mzz,VR,Tva,Tpl,Taz,Nva,Npl,Naz,Pva,Ppl,Paz
2974058,20080924224000,-42.3390,173.9085,206,45,85,33,45,95,5.0,5.0,3.29e+23,16,7,84,-626.88,1607.48,129.36,-2513.12,125.71,3140.01,81,3151.00,87,29,283.04,3,209,-3434.03,0,300
3367749,20100906114000,-43.5885,171.8914,232,51,84,61,39,97,5.4,5.0,3.13e+23,6,12,88,-2134.54,1552.10,-387.11,-817.26,540.89,2951.80,88,3034.06,83,110,190.58,4,235,-3224.64,6,326
3497857,20110416054900,-43.6134,172.7886,83,89,165,174,75,1,5.3,5.0,3.51e+23,4,14,43,162.93,3321.37,850.43,-1242.11,-480.54,1079.18,86,2929.37,11,37,1165.28,75,259,-4094.66,10,129
3505099,20110429190800,-43.1842,171.9868,69,90,151,159,61,0,5.2,4.9,2.15e+23,7,12,70,1099.58,1439.20,887.23,-1338.35,-561.79,238.77,85,1976.42,20,20,343.34,61,248,-2319.76,20,118
3509905,20110509150400,-43.5994,172.4068,149,79,-14,241,76,-169,5.2,4.9,2.81e+23,6,14,95,2477.81,1357.85,110.22,-2166.61,-772.00,-311.20,89,2848.65,2,195,-71.15,72,291,-2777.50,18,105
3525264,20110605210900,-43.6051,172.4125,259,83,-153,165,63,-8,5.5,5.1,4.74e+23,4,12,62,1584.49,3766.70,1983.58,-1741.91,-1512.63,157.42,90,4242.63,14,29,992.46,62,272,-5235.09,24,125
3528810,20110613010100,-43.5684,172.7531,233,88,-155,142,65,-2,5.8,5.3,9.98e+23,5,14,55,9947.25,2039.50,3943.94,-7789.57,-1573.12,-2157.67,63,11240.10,16,5,-2525.81,65,237,-8714.30,19,100
3533107,20110621103400,-43.5988,172.5249,178,81,-10,270,80,-171,5.4,5.2,6.73e+23,6,15,45,-535.65,6468.88,1494.49,-1096.82,-1599.61,1632.46,87,5658.93,1,224,2140.29,76,316,-7799.22,14,134
3591999,20111009073400,-43.5799,172.7899,250,86,-160,159,70,-4,5.4,4.9,2.33e+23,6,10,59,1233.02,1665.89,642.41,-1552.18,-667.50,319.16,84,2068.60,11,23,527.69,70,260,-2596.30,17,116
3713255,20111223010000,-43.5239,172.8291,59,61,125,185,44,44,5.2,5.0,3.94e+23,2,6,41,-121.42,2917.98,1342.08,-2462.05,-493.09,2583.47,60,3255.77,59,19,1369.49,29,220,-4625.26,10,125
3631363,20111223010600,-43.4729,172.8406,205,48,79,41,43,103,5.5,5.4,1.22e+24,4,11,95,-3579.19,5429.30,929.69,-8432.76,1980.72,12011.94,93,12345.16,82,50,-335.88,8,212,-12009.28,3,303
3631755,20111223173700,-43.6638,172.8397,254,80,163,347,73,10,5.1,4.9,2.51e+23,4,11,45,1338.52,2015.80,-1043.79,-918.97,-465.90,-419.55,82,2908.30,19,210,-796.56,70,44,-2111.74,5,301
2012p001403,20120101122700,-43.4625,172.8325,222,53,101,25,38,76,5.1,4.8,1.71e+23,4,13,93,-441.26,820.90,-432.92,-1147.63,220.31,1588.89,92,1678.41,79,173,63.67,8,35,-1742.09,8,305
